sequence_order,scene_id,scene_title,source_ids,runtime_minutes,screenplay_pages,film_start_minute,film_end_minute,scene_purpose,emotional_turn,character_focus,production_complexity,priority,status
1,SCN-VAN-001,Kaṇṇaki names the catastrophe,HWT-0153,1.5,1.5,138.0,139.5,Begin Vañci with Kaṇṇaki's own compressed account,The civic actor becomes a stranger whose history must be received,Kaṇṇaki;hill women,medium,A,planned
2,SCN-VAN-002,A small settlement receives a deity,HWT-0154;HWT-0155,2.0,2.0,139.5,141.5,Establish local Pattini worship before royal action,Recognition becomes communal material practice,hill community;Kaṇṇaki,high,A,planned
3,SCN-VAN-003,Mountain water holds the community,HWT-0156,1.0,1.0,141.5,142.5,Locate worship inside specific ecology,Kaṇṇaki's memory enters a living mountain system,hill women;Kaṇṇaki;water ecology,high,B,planned
4,SCN-VAN-004,The spear links distinct sacred landscapes,HWT-0157,1.0,1.0,142.5,143.5,Preserve early Tamil sacred geography,Local song opens toward wider Murukaṉ-associated landscapes,hill women;spear memory,high,B,planned
5,SCN-VAN-005,Ritual efficacy is debated inside the song,HWT-0158,1.0,1.0,143.5,144.5,Show belief as interpreted and contested within community,Sacred performance becomes social argument,hill women;possession specialist,medium,B,planned
6,SCN-VAN-006,The hill song judges Madurai,HWT-0159,1.5,1.5,144.5,146.0,Complete local moral interpretation of Kaṇṇaki,A stranger's grief becomes communal Pattini praise,hill women;Kaṇṇaki as remembered presence,high,A,planned
7,SCN-VAN-007,The court enters mountain country,HWT-0160;HWT-0161,1.5,1.5,146.0,147.5,Bring royal power into an inhabited landscape,The court becomes listener rather than origin,Senguttuvan;Iḷaṅkō Vēṇmāḷ;hill communities,very_high,A,planned
8,SCN-VAN-008,Tribute carries ecological knowledge,HWT-0162;HWT-0163,1.0,1.0,147.5,148.5,Show tribute as political transfer of wealth and knowledge,Material display reveals labour and asymmetry,hill communities;court,very_high,B,planned
9,SCN-VAN-009,The Kuravar report what they saw,HWT-0164,1.5,1.5,148.5,150.0,Establish local eyewitness authority,The tribute audience becomes inquiry,Kuravar witnesses;Senguttuvan;queen,medium,A,planned
10,SCN-VAN-010,Sāttanār connects witness to history,HWT-0165,2.0,2.0,150.0,152.0,Connect hill testimony to the anklet case and Madurai catastrophe,The court understands that the moral event is already complete,Sāttanār;witnesses;court,medium,A,planned
11,SCN-VAN-011,The ruler hears the burden of justice,HWT-0166,1.0,1.0,152.0,153.0,Turn Kaṇṇaki's story into a question of kingship,Narrative becomes responsibility for the ruler,Senguttuvan;court,low,A,planned
12,SCN-VAN-012,Pattini becomes a royal responsibility,HWT-0167,1.0,1.0,153.0,154.0,Authorise memorial action after local recognition,The queen converts witness into policy proposal,Iḷaṅkō Vēṇmāḷ;Senguttuvan,low,A,planned
13,SCN-VAN-013,"Stone, place and legitimacy are debated",HWT-0168,1.0,1.0,154.0,155.0,Frame monument material as cultural decision,Commemoration becomes a contested question of scale,court specialists;king,medium,B,planned
14,SCN-VAN-014,A memorial decision becomes an expedition,HWT-0169;HWT-0170,1.5,1.5,155.0,156.5,Expose expansion from honouring Kaṇṇaki to state prestige,Ethical resolution becomes northern vow and proclamation,Senguttuvan;ministers;messengers,high,A,planned
