concordance_id,zone_or_system,source_file,kandam,canto,passage_span,anchor_phrase,source_claim,verification_status
HWT-0061,ROAD-Z03 orchard and field hazards,pukaar_kaandam.md,Pukār,10. Seeing the Country,65-100,"ஏதம் தருவன யாங்கும்பல","Garden and field routes contain pits, fallen fruit, fish, bees, crabs and other hazards requiring careful movement",verified_exact
HWT-0062,ROAD-Z03 Kāviri agrarian soundscape,pukaar_kaandam.md,Pukār,10. Seeing the Country,101-145,"காவிரிப் புதுநீர்க் கடுவரல்","Floodwater, birds, cattle, harvest labour, field songs, drums and ritual smoke define the Kāviri countryside",verified_exact
HWT-0063,ROAD-Z03 slow travel through settlements,pukaar_kaandam.md,Pukār,10. Seeing the Country,146-160,"ஊர்இடை யிட்ட நாடுஉடன் கண்டு","The travellers move slowly through inhabited agrarian country and halt repeatedly rather than crossing an empty landscape",verified_exact
HWT-0064,ROAD-Z02 Sāraṇar river-island encounter,pukaar_kaandam.md,Pukār,10. Seeing the Country,161-215,"தருமம் சாற்றும் சாரணர்","Ascetic teachers appear at a river-side sacred place, teach on karma and liberation, and receive Kauṇṭi's declaration of faith",verified_exact
HWT-0065,ROAD-Z02 south-bank crossing and vulnerability,pukaar_kaandam.md,Pukār,10. Seeing the Country,215-220,"தென்கரை எய்திப்","The couple and Kauṇṭi reach the southern bank and enter a flower grove where unfamiliar people can approach them",verified_exact
HWT-0066,ROAD-Z03 southward dawn departure,madurai_kaandam.md,Madurai,11. Seeing the Forest,1-10,"தென்றிசை மருங்கிற் செலவு விருப்புற்று","After hearing ascetic teaching, the travellers rest and resume their southward journey at dawn",verified_exact
HWT-0067,ROAD political and ecological frame,madurai_kaandam.md,Madurai,11. Seeing the Forest,15-30,"தென்னவன் வாழி","Praise of the Pāṇḍya ruler links sovereignty, rain, agricultural abundance and southern territorial memory",verified_exact
HWT-0068,ROAD route knowledge and sacred geography,madurai_kaandam.md,Madurai,11. Seeing the Forest,31-55,"மதுரைச் செந்நெறி கூறு","A travelling Brahmin describes sacred sites, royal territory and the routes leading toward Madurai",verified_exact
HWT-0069,ROAD-Z04 seasonal pālai transformation,madurai_kaandam.md,Madurai,11. Seeing the Forest,60-70,"முல்லையுங் குறிஞ்சியும் முறைமையின் திரிந்து","Mullai and kuṟiñci landscapes become pālai under summer heat, showing ecology as seasonal transformation rather than fixed desert",verified_exact
HWT-0070,ROAD-Z04 arid route and cultivated hill,madurai_kaandam.md,Madurai,11. Seeing the Forest,71-90,"கானமும் எயினர் கடமுங் கடந்தால்","One route passes dry trees, bamboo, thirsty deer and hunter territory before reaching crop-rich Sirumalai",verified_exact
