panel_id,scene_id,source_ids,start_minute,duration_seconds,framing,action,continuity_lock,asset_path,status
MAD-P001,SCN-PUK-005,HWT-0036,13.0,35,wide_to_medium,repeated_footwork_under_teacher_correction,mastery_is_trained_not_innate,assets/visual-development/madhavi-debut-v1/01-training-and-stage-v1.jpg,illustrated_board_v1_research_hold
MAD-P002,SCN-PUK-005,HWT-0037,13.583,55,ensemble_medium,breath_song_rhythm_and_yal_practice,teachers_and_accompanists_remain_visible,assets/visual-development/madhavi-debut-v1/01-training-and-stage-v1.jpg,illustrated_board_v1_research_hold
MAD-P003,SCN-PUK-006,HWT-0038,14.5,35,architectural_wide,measured_timber_stage_is_assembled,stage_is_a_technical_system,assets/visual-development/madhavi-debut-v1/01-training-and-stage-v1.jpg,illustrated_board_v1_research_hold
MAD-P004,SCN-PUK-006,HWT-0039,15.083,30,working_medium,acoustics_and_instruments_are_tested,exact_yal_form_remains_research_hold,assets/visual-development/madhavi-debut-v1/01-training-and-stage-v1.jpg,illustrated_board_v1_research_hold
MAD-P005,SCN-PUK-006,HWT-0040,15.583,25,detail_to_full,costume_fastening_and_threshold_marking,costume_is_professional_equipment,assets/visual-development/madhavi-debut-v1/01-training-and-stage-v1.jpg,illustrated_board_v1_research_hold
MAD-P006,SCN-PUK-007,HWT-0041,16.0,25,ceremonial_wide,madhavi_enters_the_public_stage,madhavi_controls_the_entrance,assets/visual-development/madhavi-debut-v1/02-debut-reward-garland-v1.jpg,illustrated_board_v1_research_hold
MAD-P007,SCN-PUK-007,HWT-0041,16.417,65,performance_sequence,ensemble_and_madhavi_execute_the_debut,performance_is_narrative_action,assets/visual-development/madhavi-debut-v1/02-debut-reward-garland-v1.jpg,illustrated_board_v1_research_hold
MAD-P008,SCN-PUK-007,HWT-0041,17.5,30,audience_countershot,royal_and_public_attention_registers_skill,recognition_follows_demonstrated_mastery,assets/visual-development/madhavi-debut-v1/02-debut-reward-garland-v1.jpg,illustrated_board_v1_research_hold
MAD-P009,SCN-PUK-007,HWT-0041,18.0,25,award_medium,headstaff_is_awarded_to_madhavi,headstaff_never_transfers_to_kovalan,assets/visual-development/madhavi-debut-v1/02-debut-reward-garland-v1.jpg,illustrated_board_v1_research_hold
MAD-P010,SCN-PUK-007,HWT-0041,18.417,35,relational_two_plane,garland_threshold_links_artist_economy_and_kovalan,kovalan_is_conscious_observer_not_magically_seduced,assets/visual-development/madhavi-debut-v1/02-debut-reward-garland-v1.jpg,illustrated_board_v1_research_hold
