character_id,character,state_order,state_name,narrative_range,source_ids,body_continuity,material_or_prop_lock,asset_path,status
CHR-KAN,Kaṇṇaki,1,merchant_household,SCN-PUK-002–004,HWT-0029–0035,protected_and_composed,paired_anklets_are_household_property,assets/visual-development/character-models-v1/01-kannaki-six-state-v1.jpg,concept_v1_research_hold
CHR-KAN,Kaṇṇaki,2,separation,SCN-PUK-008–018,HWT-0042–0055,contained_grief_and_reduced_ornament,anklets_remain_under_her_control,assets/visual-development/character-models-v1/01-kannaki-six-state-v1.jpg,concept_v1_research_hold
CHR-KAN,Kaṇṇaki,3,traveller,SCN-PUK-021–SCN-ROAD-018,HWT-0058–0089,cumulative_fatigue_and_foot_injury,travel_load_and_anklet_continuity,assets/visual-development/character-models-v1/01-kannaki-six-state-v1.jpg,concept_v1_research_hold
CHR-KAN,Kaṇṇaki,4,madhari_refuge,SCN-MDU-003–005,HWT-0095–0101,injury_cared_for_not_erased,one_anklet_retained_one_released_for_sale,assets/visual-development/character-models-v1/01-kannaki-six-state-v1.jpg,concept_v1_research_hold
CHR-KAN,Kaṇṇaki,5,court_claimant,SCN-MDU-010–024,HWT-0108–0130,injury_and_grief_remain_visible,surviving_anklet_becomes_public_evidence,assets/visual-development/character-models-v1/01-kannaki-six-state-v1.jpg,concept_v1_research_hold
CHR-KAN,Kaṇṇaki,6,sacred_memory,SCN-MDU-025–SCN-VAN-030,HWT-0131–0197,transformed_but_not_erased,divine_coding_only_after_community_recognition,assets/visual-development/character-models-v1/01-kannaki-six-state-v1.jpg,concept_v1_research_hold
CHR-KOV,Kōvalaṉ,1,merchant_confidence,SCN-PUK-002–004,HWT-0029–0035,protected_and_well_resourced,merchant_household_materials,assets/visual-development/character-models-v1/02-kovalan-six-state-v1.jpg,concept_v1_research_hold
CHR-KOV,Kōvalaṉ,2,artistic_patron,SCN-PUK-007–014,HWT-0041–0049,ornamented_and_socially_confident,garland_and_yal_relationship,assets/visual-development/character-models-v1/02-kovalan-six-state-v1.jpg,concept_v1_research_hold
CHR-KOV,Kōvalaṉ,3,relational_rupture,SCN-PUK-014–018,HWT-0049–0055,defensive_and_reduced,flower_letter_chain_begins,assets/visual-development/character-models-v1/02-kovalan-six-state-v1.jpg,concept_v1_research_hold
CHR-KOV,Kōvalaṉ,4,ashamed_return,SCN-PUK-019–021,HWT-0056–0058,loss_visible_without_absolution,no_automatic_restoration_of_status,assets/visual-development/character-models-v1/02-kovalan-six-state-v1.jpg,concept_v1_research_hold
CHR-KOV,Kōvalaṉ,5,traveller,SCN-PUK-022–SCN-ROAD-018,HWT-0059–0089,weathered_and_physically_reduced,travel_load_and_letter_continuity,assets/visual-development/character-models-v1/02-kovalan-six-state-v1.jpg,concept_v1_research_hold
