concordance_id,zone_or_system,source_file,kandam,canto,passage_span,anchor_phrase,source_claim,verification_status
HWT-0168,VAN-Z05 monument material debate,vanji_kaandam.md,Vañci,25. Vision,115-130,"வியன்பேர் இமயத்துக் கற்கால் கொள்ளினும்","Court specialists compare southern stone and Kāviri consecration with Himalayan stone and Ganges consecration for the Pattini image",verified_exact
HWT-0169,VAN-Z05 royal northern vow,vanji_kaandam.md,Vañci,25. Vision,130-150,"வாய்வாள் மலைந்த வஞ்சிசூடுதும்","Senguttuvan transforms the memorial decision into a northern royal expedition framed through Vañci victory traditions",verified_exact
HWT-0170,VAN-Z06 intelligence and proclamation,vanji_kaandam.md,Vañci,25. Vision,150-190,"அறைபறை","Ministers use public proclamation and the known presence of foreign spies to transmit the expedition’s demand to northern rulers",verified_exact
HWT-0171,VAN-Z06 auspicious mobilisation,vanji_kaandam.md,Vañci,26. Taking the Stone,25-35,"முழுத்தம் ஈங்கிது","A learned court expert identifies the auspicious moment and the king orders sword and parasol turned north",verified_exact
HWT-0172,VAN-Z06 councils and state professions,vanji_kaandam.md,Vañci,26. Taking the Stone,35-45,"ஐம்பெருங் குழுவும் எண்பே ராயமும்","The expedition includes the five great councils eight bodies and administrative accounting ethical and strategic specialists",verified_exact
HWT-0173,VAN-Z06 army provisioning,vanji_kaandam.md,Vañci,26. Taking the Stone,45-55,"பெரும்படைத் தலைவர்க்குப் பெருஞ்சோறு வகுத்து","Large-scale food provision is assigned to the army leadership before departure",verified_exact
HWT-0174,VAN-Z06 sacred royal legitimation,vanji_kaandam.md,Vañci,26. Taking the Stone,55-70,"செஞ்சடைக் கடவுள் வண்ணச் சேவடி","Senguttuvan receives sacred honours associated with the red-haired deity and carries them as part of departure ritual",verified_exact
HWT-0175,VAN-Z06 public performance at departure,vanji_kaandam.md,Vañci,26. Taking the Stone,70-80,"மாகதப் புலவரும் வைதாளிகரும் சூதரும்","Poets heralds bards elephant commanders cavalry leaders and warriors publicly praise the departing king",verified_exact
HWT-0176,VAN-Z07 military march and Nilagiri camp,vanji_kaandam.md,Vañci,26. Taking the Stone,80-95,"நீல கிரியின் நெடும்புறத் திறுத்தாங்கு","The army moves with elephants horses chariots and commanders before establishing a guarded camp on the Nilagiri heights",verified_exact
HWT-0177,VAN-Z07 ascetic protection instruction,vanji_kaandam.md,Vañci,26. Taking the Stone,95-105,"அருமறை அந்தணர் ஆங்குளர் வாழ்வோர்","Descending ascetics advise the king to protect learned ritual communities living in the Himalayan region",verified_exact
HWT-0178,VAN-Z08 Hundred Kannar alliance,vanji_kaandam.md,Vañci,26. Taking the Stone,140-165,"நூற்றுவர் கன்னரும்","The Hundred Kannar offer cooperation and undertake to prepare a large fleet for crossing the Ganges",verified_exact
HWT-0179,VAN-Z08 tribute and written administration,vanji_kaandam.md,Vañci,26. Taking the Stone,165-175,"கண்ணெழுத்தாளர்","Tribute goods and written royal documents are handled by designated scribal officials",verified_exact
HWT-0180,VAN-Z09 northern coalition and camp,vanji_kaandam.md,Vañci,26. Taking the Stone,175-190,"வடதிசை மருங்கின் மன்னவர் எல்லாம்","A named coalition of northern rulers joins Kanaka and Vijaya and confronts the Cēra army near its northern camp",verified_exact
HWT-0181,VAN-Z09 battle system,vanji_kaandam.md,Vañci,26. Taking the Stone,190-220,"இடிக்குரல் முரசம்","Banners drums horns infantry chariots elephants horses dust wounds and bodies construct the battle as organised mass violence",verified_exact
HWT-0182,VAN-Z09 capture and Himalayan stone,vanji_kaandam.md,Vañci,26. Taking the Stone,220-end,"கனகனும் விசயனும் / கற்கால் கொண்டனன்","Kanaka and Vijaya are captured and Senguttuvan obtains the Pattini stone from the Himalayan region",verified_exact
