panel_id,scene_id,source_ids,start_minute,duration_seconds,framing,action,continuity_lock,asset_path,status
IND-P001,SCN-PUK-009,HWT-0002–HWT-0004,20.5,30,elevated_city_wide,port_market_and_announcements_continue_during_preparation,festival_intensifies_normal_systems,assets/visual-development/indra-festival-v1/01-festival-city-mobilises-v1.jpg,illustrated_board_v1_research_hold
IND-P002,SCN-PUK-009,HWT-0005–HWT-0010,21.0,35,working_medium,workers_test_poles_repair_banners_and_measure_oil,structure_precedes_decoration,assets/visual-development/indra-festival-v1/01-festival-city-mobilises-v1.jpg,illustrated_board_v1_research_hold
IND-P003,SCN-PUK-009,HWT-0011–HWT-0014,21.583,40,logistics_wide,commodities_and_port_cargo_use_separated_routes,festival_does_not_stop_trade,assets/visual-development/indra-festival-v1/01-festival-city-mobilises-v1.jpg,illustrated_board_v1_research_hold
IND-P004,SCN-PUK-009,HWT-0015–HWT-0020,22.25,35,plural_civic_wide,forums_rites_music_and_communities_operate_in_parallel,no_single_later_temple_dominates,assets/visual-development/indra-festival-v1/01-festival-city-mobilises-v1.jpg,illustrated_board_v1_research_hold
IND-P005,SCN-PUK-009,HWT-0021;HWT-0022,22.833,40,night_system_wide,distinct_practical_lamps_activate_across_city,light_sources_have_professional_functions,assets/visual-development/indra-festival-v1/01-festival-city-mobilises-v1.jpg,illustrated_board_v1_research_hold
IND-P006,SCN-PUK-010,HWT-0023,23.5,60,backstage_working_medium,madhavi_directs_movement_safe_costume_adjustment,costume_is_professional_equipment,assets/visual-development/indra-festival-v1/02-dances-and-night-route-v1.jpg,illustrated_board_v1_research_hold
IND-P007,SCN-PUK-010,HWT-0023;HWT-0024,24.5,60,performance_composite,roles_body_centres_and_ensemble_leads_change,exact_choreography_remains_research_hold,assets/visual-development/indra-festival-v1/02-dances-and-night-route-v1.jpg,illustrated_board_v1_research_hold
IND-P008,SCN-PUK-010,HWT-0024,25.5,60,backstage_consequence,breath_foot_injury_water_and_next_costume_are_managed,labour_remains_visible_after_applause,assets/visual-development/indra-festival-v1/02-dances-and-night-route-v1.jpg,illustrated_board_v1_research_hold
IND-P009,SCN-PUK-011,HWT-0025;HWT-0044,26.5,45,night_route_wide,madhavi_chooses_to_walk_with_kovalan_through_lit_city,she_is_not_led_or_commanded,assets/visual-development/indra-festival-v1/02-dances-and-night-route-v1.jpg,illustrated_board_v1_research_hold
IND-P010,SCN-PUK-011,HWT-0026;HWT-0027,27.25,45,coastal_opening_wide,crowds_cargo_navigation_light_and_protected_yal_reach_shore,port_labour_and_festival_share_space,assets/visual-development/indra-festival-v1/02-dances-and-night-route-v1.jpg,illustrated_board_v1_research_hold
