package_id,world,scene_range,primary_hwt_range,design_thesis,principal_sets,hero_materials,costume_continuity,crowd_or_creature_system,critical_research,board_priority,status
PD-PUK-01,Pukār,SCN-PUK-001--SCN-PUK-008,HWT-0001--HWT-0043,Household wealth and artistic institution before rupture,harbour;merchant houses;training hall;measured stage,anklet pair;yāḻ;garland;stage tools,Kaṇṇaki household to subtraction;Mādhavi training to debut,port labour;wedding households;performance ensemble,merchant architecture;stage geometry;yāḻ;marriage material,A,development
PD-PUK-02,Pukār,SCN-PUK-009--SCN-PUK-016,HWT-0002--HWT-0053,Festival circulation becomes artistic misunderstanding,festival streets;beach pavilion;night work routes,costume changes;profession lamps;yāḻ;flower-letter,Mādhavi eleven-dance changes;Kōvalaṉ artistic luxury,civic festival;night workers;shore crowds,Indra festival;dance repertory;coastal lighting;letter botany,A,development
PD-PUK-03,Pukār,SCN-PUK-017--SCN-PUK-024,HWT-0054--HWT-0061,Domestic protection contracts into departure,Kaṇṇaki house;sacred thresholds;pre-dawn edge,anklet;travel loads;water vessels,ornament removal to travel wear,small sacred communities;gate workers,ritual plurality;travel footwear;city-edge geography,A,development
PD-ROAD-01,Road,SCN-ROAD-001--SCN-ROAD-006,HWT-0061--HWT-0068,Cultivated systems expose bodily cost,Kāviri fields;halts;river island;crossing,loads;footwear;water;ascetic implements,first dust;wet footwear;load redistribution,field labour;cattle;river travellers,irrigation;crossing technology;ascetic material,A,development
PD-ROAD-02,Road,SCN-ROAD-007--SCN-ROAD-012,HWT-0069--HWT-0080,Seasonal pālai and sacred alternatives transform perception,dry ecology;cave threshold;forest;Aiyai enclosure,water reserve;protective objects;ritual instruments,heat damage;open foot injury;ritual refuge,hunter settlement;Sālini rite;animals,pālai ecology;cave practice;Korravai/Aiyai ritual,A,development
PD-ROAD-03,Road,SCN-ROAD-013--SCN-ROAD-018,HWT-0081--HWT-0089,Night protection yields to the organised capital,moonlit road;outer shelter;Vaigai;fortified edge,flower-letter;seal;raft;anklets,night cold;wound treatment;city-entry wear,travellers;religious shelter;river workers,letter technology;night travel;Vaigai crossing;fortification,A,development
PD-MDU-01,Madurai,SCN-MDU-001--SCN-MDU-010,HWT-0090--HWT-0114,Competent city converts expert falsehood into state violence,gate;markets;Mādhari house;goldsmith quarter;execution route,sale anklet;scales;goldsmith tools;pastoral vessels,refuge repair to exposed trader;Kaṇṇaki injury persists,urban labour;kuravai;officers;cattle,city layout;craft tools;execution procedure;kuravai,A,development
PD-MDU-02,Madurai,SCN-MDU-011--SCN-MDU-020,HWT-0115--HWT-0130,Grief becomes public material proof,body site;public streets;palace gate;court,surviving anklet;body continuity;queen anklet;gems;pearls;sceptre,grief wear;blood;court claimant state,citizens;retinue;court officials,body custody;court protocol;matched anklets;breakaway proof,A,development
PD-MDU-03,Madurai,SCN-MDU-021--SCN-MDU-030,HWT-0131--HWT-0152,Embodied accusation becomes selective catastrophe and memory,three-circuit route;fire zones;sacred thresholds;ruins;mountain road,broken anklet fragment;fire continuity;protected-group objects,injured circuits;one-breast action;fourteen-day wear,citizens;protected groups;guardians;evacuation,remembered women;body-effect safety;selective fire;Madurāpati,A,development
PD-VAN-01,Vañci,SCN-VAN-001--SCN-VAN-010,HWT-0153--HWT-0165,Local hill recognition precedes royal reception,vēṅkai site;small settlement;waterfall;royal hill camp,small drums;horn;bell;flowers;tribute,Kaṇṇaki damaged body to received presence;hill work dress,hill women;Kuravar;animals;royal retinue,hill botany;ritual;Murukaṉ geography;ethical animal alternatives,A,development
PD-VAN-02,Vañci,SCN-VAN-011--SCN-VAN-020,HWT-0166--HWT-0182,Memorial policy expands into state expedition,court debate;proclamation space;provisioning;Nilagiri camp;Ganges fleet;battlefield,sword;parasol;documents;grain;boats;weapons;stone,royal/council/military ranks;campaign degradation,councils;army;allies;northern coalition,Cēra administration;camp logistics;ships;weapons;stone extraction,A,development
PD-VAN-03,Vañci,SCN-VAN-021--SCN-VAN-030,HWT-0183--HWT-0197,Conquest material becomes consecrated and ethically governed memory,Ganges complex;return route;Vañci entry;workshop;Pattini shrine,stone;water vessels;craft tools;offerings;boundary markers,captives;veteran wounds;specialists;memory bearers,warriors;craftspeople;women witnesses;regional rulers,consecration;temporary architecture;shrine design;lament;final ethics,A,development
