relationship_id,from_character,to_character,flow_type,narrative_phase,source_ids,dramatic_function,power_asymmetry,interpretation_limit,status
REL-001,Kaṇṇaki,Kōvalaṉ,marriage and material partnership,Pukār to road,"HWT-0032;HWT-0057;HWT-0058","Marriage injury shared property and attempted recovery","Kōvalaṉ depends on Kaṇṇaki's property and endurance","Her cooperation does not erase abandonment",verified
REL-002,Kōvalaṉ,Mādhavi,patronage and artistic intimacy,Pukār,"HWT-0036;HWT-0041;HWT-0045","Economic access becomes shared artistic relationship","He can purchase access but not control her meaning","Do not reduce the bond to seduction",verified
REL-003,Mādhavi,Kōvalaṉ,performance counter-speech,Pukār Kāṉal Vari,"HWT-0048;HWT-0049","Her artistic answer triggers his interpretive break","His suspicion dominates the immediate outcome","Suspicion is not proof of infidelity",verified
REL-004,Mādhavi,Vasantamālai,material message transfer,Pukār Summer,"HWT-0052;HWT-0053","The flower-letter moves private appeal through a trusted messenger","Messenger controls access but not meaning","Do not turn the letter into generic romantic correspondence",verified
REL-005,Kauṇṭi,Kaṇṇaki,route care and ethical protection,Road,"HWT-0060;HWT-0073;HWT-0076","Kauṇṭi makes terrain and bodily vulnerability morally visible","Kauṇṭi has route authority while Kaṇṇaki bears the bodily cost","Protection is not supernatural control",verified
REL-006,Kauṇṭi,Mādhari,transfer of care,Madurai refuge,"HWT-0098;HWT-0099","Ascetic protection is transferred to pastoral household protection","Kauṇṭi assesses need and Mādhari controls local shelter","Do not reduce the handover to sentiment",verified
REL-007,Mādhari,Kaṇṇaki,household refuge,Madurai,"HWT-0099;HWT-0187","Food shelter and women's care restore temporary safety","Mādhari has local household power over an exposed traveller","Do not idealise refuge as permanent security",verified
REL-008,Dēvanti,Kaṇṇaki,ritual proposal,Pukār Dream canto,"HWT-0054","Dēvanti offers a ritual route and Kaṇṇaki refuses it","Dēvanti has ritual confidence but Kaṇṇaki retains judgement","Direct Canto 9 anchor must accompany this contextual HWT link",verified_with_canto_anchor
REL-009,Sālini,Kaṇṇaki,anticipatory sacred recognition,Hunter country,"HWT-0077;HWT-0079;HWT-0080","Possessed speech names exceptional status before civic proof","Ritual community interprets while Kaṇṇaki remains a traveller","Recognition must not replace later legal evidence",verified
REL-010,Goldsmith,Kōvalaṉ,false accusation,Madurai market,"HWT-0100;HWT-0101;HWT-0102","Craft expertise recasts a trader as a thief","The goldsmith controls technical credibility and local access","Do not make deception implausibly theatrical",verified
REL-011,Goldsmith,Pāṇḍya king,expert claim to sovereign,Madurai justice failure,"HWT-0101;HWT-0129","Specialised assertion enters royal decision without testing","The king has coercive power but relies on unverified expertise","Individual deceit does not excuse sovereign haste",verified
REL-012,Pāṇḍya king,Kōvalaṉ,state punishment,Madurai execution,"HWT-0102;HWT-0104","Royal authority converts accusation into irreversible killing","Kōvalaṉ has no effective procedural protection","Execution must not appear deserved by fate",verified
REL-013,Kaṇṇaki,Pāṇḍya king,evidentiary challenge,Madurai court,"HWT-0125;HWT-0127;HWT-0128;HWT-0129","Material proof reverses the court's classification","She lacks rank but possesses decisive knowledge and object","Her power must not depend only on rage",verified
REL-014,Pāṇḍya queen,Kaṇṇaki,warning and terminal witness,Madurai court,"HWT-0123;HWT-0124;HWT-0130","The queen moves from omen-bearing consort to witness of irreversible grief","Royal status cannot repair Kaṇṇaki's loss","Do not invent jealousy or rivalry",verified
REL-015,Madurāpati,Kaṇṇaki,sacred causal explanation,Madurai aftermath,"HWT-0144;HWT-0145","The city deity widens the causal frame after the human case is proven","Divine authority explains but arrives after institutional failure","Karma must not absolve government",verified
REL-016,Madurai citizens,Kaṇṇaki,public witnessing,Madurai streets,"HWT-0117;HWT-0118;HWT-0119","Citizens interpret the bent sceptre and guide her to the body","Crowd knowledge gives visibility but not immediate remedy","Do not make the city uniformly passive or hostile",verified
REL-017,Kuravar,Senguttuvan,local eyewitness testimony,Vañci hill encounter,"HWT-0164","Hill witnesses report Kaṇṇaki's final appearance in Cēra country","Local knowledge precedes royal interpretation","Do not let the court claim original discovery",verified
REL-018,Sāttanār,Senguttuvan,narrative synthesis,Vañci court,"HWT-0165;HWT-0166","Dispersed events become a political account for the Cēra ruler","Narrative knowledge influences sovereign response","Do not merge Sāttanār with an omniscient author",verified
REL-019,Iḷaṅkō Vēṇmāḷ,Senguttuvan,memorial policy proposal,Vañci court,"HWT-0167","The queen recommends Pattini honour and gives ethical direction","She advises within royal hierarchy but changes policy","Do not reduce her to ceremonial assent",verified
REL-020,Māṭalan,Senguttuvan,connective memory and ethical interruption,Northern campaign,"HWT-0186;HWT-0187","Reports of deaths renunciations and grief interrupt martial triumph","The king controls force while Māṭalan controls dispersed knowledge","Exposition must alter judgement and policy",verified
REL-021,Senguttuvan,Kaṇṇaki,state monumentalisation,Vañci,"HWT-0168;HWT-0184;HWT-0193;HWT-0194","Royal institutions turn testimony into stone shrine festival and recurring worship","The state has scale but does not originate her truth","Do not replace Kaṇṇaki with the king as moral protagonist",verified
REL-022,Dēvanti,Pattini institution,personal memory within cult,Vañci shrine,"HWT-0195;HWT-0196","A companion carries earlier life grief and divine speech into public worship","Institutional ritual can frame personal memory","Do not erase Dēvanti's prior relationship to Kaṇṇaki",verified
REL-023,Senguttuvan,ritual and craft specialists,commission and collaboration,Vañci shrine,"HWT-0192;HWT-0193;HWT-0194","Royal command becomes built form through ritual calendrical and craft labour","The king commissions while specialists control technical execution","Do not depict shrine creation as a single heroic act",verified
REL-024,Kaṇṇaki,Madurai citizens,moral public address,Madurai catastrophe,"HWT-0118;HWT-0133;HWT-0135","Her claim expands from husband and king to the city's moral community","Her command gains scale after public proof","Selective fire and protected groups must remain",verified
REL-025,Māṭalan,bereaved families,memory aggregation,Pukār Madurai and Vañci,"HWT-0187;HWT-0195","Separate deaths griefs and renunciations are joined into one causal memory network","He transmits stories of people who cannot speak in the scene","Do not let his account erase their distinct experiences",verified
