panel_id,scene_id,source_ids,start_minute,duration_seconds,framing,action,continuity_lock,asset_path,status
KAN-P001,SCN-PUK-012,HWT-0028;HWT-0045,28.0,35,working_wide,pair_inside_pavilion_with_active_shoreline_beyond,beach_remains_a_working_public_world,assets/visual-development/kanal-vari-v1/01-kovalan-song-v1.jpg,illustrated_board_v1_research_hold
KAN-P002,SCN-PUK-012,HWT-0045,28.583,35,instrument_medium,kovalan_tests_and_adjusts_the_yal,his_musical_skill_is_credible,assets/visual-development/kanal-vari-v1/01-kovalan-song-v1.jpg,illustrated_board_v1_research_hold
KAN-P003,SCN-PUK-012,HWT-0046,29.167,30,restrained_two_shot,wind_and_string_discussion_carries_double_meaning,no_direct_modern_accusation,assets/visual-development/kanal-vari-v1/01-kovalan-song-v1.jpg,illustrated_board_v1_research_hold
KAN-P004,SCN-PUK-012,HWT-0046;HWT-0047,29.667,45,performance_medium,kovalan_sings_through_coastal_images,song_remains_indirect_and_ambiguous,assets/visual-development/kanal-vari-v1/01-kovalan-song-v1.jpg,illustrated_board_v1_research_hold
KAN-P005,SCN-PUK-012,HWT-0047,30.417,35,listening_close,madhavi_analyses_implication_and_reaches_for_yal,hurt_does_not_become_confession,assets/visual-development/kanal-vari-v1/01-kovalan-song-v1.jpg,illustrated_board_v1_research_hold
KAN-P006,SCN-PUK-013,HWT-0048,31.0,25,instrument_detail,madhavi_checks_the_altered_string,professional_technique_continues_under_hurt,assets/visual-development/kanal-vari-v1/02-madhavi-answer-and-rupture-v1.jpg,illustrated_board_v1_research_hold
KAN-P007,SCN-PUK-013,HWT-0048,31.417,40,performance_two_plane,madhavi_answers_while_kovalan_listens_for_confirmation,no_third_lover_is_visualised,assets/visual-development/kanal-vari-v1/02-madhavi-answer-and-rupture-v1.jpg,illustrated_board_v1_research_hold
KAN-P008,SCN-PUK-013,HWT-0048,32.083,25,psychological_close,open_musical_question_is_heard_as_final_judgment,her_answer_remains_multivalent,assets/visual-development/kanal-vari-v1/02-madhavi-answer-and-rupture-v1.jpg,illustrated_board_v1_research_hold
KAN-P009,SCN-PUK-014,HWT-0049,32.5,30,rupture_medium,kovalan_rises_and_turns_away_before_resolution,departure_is_his_unilateral_choice,assets/visual-development/kanal-vari-v1/02-madhavi-answer-and-rupture-v1.jpg,illustrated_board_v1_research_hold
KAN-P010,SCN-PUK-014,HWT-0049,33.0,30,separated_wide,kovalan_enters_crowd_as_madhavi_resounds_unfinished_string,public_life_continues_and_string_leads_to_summer,assets/visual-development/kanal-vari-v1/02-madhavi-answer-and-rupture-v1.jpg,illustrated_board_v1_research_hold
